epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,245.099,1.19062,3.13907,0.20969,0.7027,1.06754,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008086,0.008086,0.008086
60,249.046,1.13194,3.22221,0.24759,0.74902,1.04394,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008053,0.008053,0.008053
61,252.472,1.20268,3.05882,0.22651,0.72213,1.06726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
62,255.899,1.10721,3.14794,0.19186,0.67738,1.02075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007987,0.007987,0.007987
63,259.314,1.19067,3.12012,0.20128,0.70146,1.04751,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007954,0.007954,0.007954
64,262.699,1.08162,3.05395,0.17578,0.66915,1.01187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
65,266.27,1.10253,3.07947,0.20061,0.68226,1.03099,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007888,0.007888,0.007888
66,269.671,1.14317,3.02357,0.18626,0.6802,1.01816,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007855,0.007855,0.007855
67,273.076,1.15208,3.06004,0.23894,0.73979,1.11669,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
68,276.45,1.18346,3.11763,0.17315,0.68754,1.03483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007789,0.007789,0.007789
69,279.84,1.02067,3.03061,0.25192,0.6701,1.0596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007756,0.007756,0.007756
70,283.199,1.02514,2.97385,0.19336,0.64549,1.02996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
71,286.584,1.07018,3.0787,0.17878,0.64673,1.00391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00769,0.00769,0.00769
72,290.146,1.02721,3.04827,0.19429,0.64326,1.00673,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007657,0.007657,0.007657
73,294.028,0.99611,2.84487,0.19771,0.64206,0.99526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
74,298.048,1.06073,2.98667,0.15569,0.6244,0.97752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007591,0.007591,0.007591
75,301.901,1.03599,2.91946,0.17118,0.62925,0.99282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007558,0.007558,0.007558
76,305.4,0.95863,2.92965,0.18261,0.61098,1.00614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
77,308.806,1.05044,2.88776,0.18039,0.61691,0.96131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007492,0.007492,0.007492
78,312.586,0.97974,2.94062,0.18612,0.63059,1.03591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007459,0.007459,0.007459
79,315.934,0.97375,2.93861,0.15728,0.60839,0.99964,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
80,319.692,1.02274,2.89333,0.15419,0.62733,0.99634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007393,0.007393,0.007393
81,323.179,0.99869,2.81397,0.16665,0.61499,0.97574,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00736,0.00736,0.00736
82,326.797,0.98039,2.91809,0.16793,0.61014,0.98039,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
83,330.202,0.99553,2.82612,0.18987,0.6111,0.9941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007294,0.007294,0.007294
84,333.581,1.00919,2.7844,0.17208,0.60871,0.99154,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007261,0.007261,0.007261
85,337.01,0.98247,2.81374,0.15683,0.58824,0.9541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
86,340.415,0.99836,2.77566,0.22336,0.60985,0.99224,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007195,0.007195,0.007195
87,343.814,1.00421,2.75188,0.20469,0.59847,1.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007162,0.007162,0.007162
88,347.213,0.88737,2.61411,0.21099,0.58539,1.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
89,350.574,0.98856,2.75986,0.17759,0.58884,0.95321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007096,0.007096,0.007096
90,353.969,0.8983,2.6888,0.15481,0.57287,0.97379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007063,0.007063,0.007063
91,357.384,0.95542,2.65978,0.16785,0.58527,0.96717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
92,360.731,0.9172,2.65782,0.20494,0.59623,1.00206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006997,0.006997,0.006997
93,364.188,0.92619,2.67863,0.16285,0.58522,0.96441,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006964,0.006964,0.006964
94,368.06,0.92577,2.63988,0.1732,0.59437,0.98232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006931,0.006931,0.006931
95,371.816,0.90349,2.64634,0.20137,0.57432,0.98983,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006898,0.006898,0.006898
96,375.215,0.99933,2.63285,0.177,0.60244,0.96101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006865,0.006865,0.006865
97,378.631,0.9671,2.47338,0.20039,0.60762,1.01093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
98,382.043,0.91996,2.49894,0.16369,0.58496,0.96977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006799,0.006799,0.006799
99,385.419,0.97633,2.38885,0.18146,0.56927,0.95403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006766,0.006766,0.006766
100,388.813,0.94604,2.46609,0.18417,0.60206,0.97187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006733,0.006733,0.006733
101,392.198,0.93583,2.44503,0.14718,0.57532,0.96551,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067,0.0067,0.0067
102,395.844,0.88187,2.29056,0.20244,0.57997,0.96743,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006667,0.006667,0.006667
103,399.255,0.93727,2.32378,0.18539,0.5842,0.97447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
104,402.686,0.97931,2.37028,0.1478,0.57926,0.9445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006601,0.006601,0.006601
105,406.115,0.9259,2.32015,0.16962,0.57995,0.96269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006568,0.006568,0.006568
106,409.659,0.95272,2.20901,0.16235,0.57661,0.97021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
107,413.271,0.87301,2.09117,0.1446,0.55044,0.94505,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006502,0.006502,0.006502
108,417.019,0.96647,2.31106,0.18146,0.58072,0.9903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006469,0.006469,0.006469
